begin,end,origin
2013/05/14 06:00,2013/05/15 06:29,Chinchilla
2013/06/06 14:23,2013/06/07 23:45,Chinchilla
2013/06/28 03:20,2013/06/29 12:32,Chinchilla
2013/07/05 04:05,2013/07/07 13:54,Chinchilla
2013/07/13 05:30,2013/07/14 23:31,Chinchilla
2013/07/18 19:00,2013/07/19 05:45,Chinchilla
2013/09/01 13:55,2013/09/02 01:59,Chinchilla
2013/10/02 14:30,2013/10/02 21:35,Chinchilla
2013/10/02 23:18,2013/10/03 14:52,Chinchilla
2013/10/30 18:33,2013/10/31 05:00,Chinchilla
2013/11/08 00:15,2013/11/09 06:09,Chinchilla
2013/11/23 00:08,2013/11/23 15:35,Chinchilla
2013/12/01 03:33,2013/12/03 03:11,Chinchilla
2013/12/08 16:06,2013/12/09 01:58,Chinchilla
2013/12/15 16:47,2013/12/16 01:22,Chinchilla
2013/12/25 03:59,2013/12/25 18:35,Chinchilla
2014/02/06 02:12,2014/02/07 16:18,Chinchilla
2014/02/16 00:43,2014/02/16 14:24,Chinchilla
2014/02/18 14:43,2014/02/19 09:43,Chinchilla
2014/02/19 11:51,2014/02/20 02:42,Chinchilla
2014/04/05 22:18,2014/04/07 14:36,Chinchilla
2014/04/11 06:57,2014/04/12 19:00,Chinchilla
2014/04/21 07:27,2014/04/22 07:12,Chinchilla
2014/04/29 19:31,2014/04/30 16:00,Chinchilla
2014/06/08 19:12,2014/06/10 16:47,Chinchilla
2014/06/22 17:46,2014/06/23 22:18,Chinchilla
2014/06/29 20:46,2014/06/30 11:16,Chinchilla
2014/07/03 03:07,2014/07/03 11:26,Chinchilla
2014/08/19 17:29,2014/08/21 18:51,Chinchilla
2014/08/27 03:07,2014/08/27 22:00,Chinchilla
2014/09/12 21:40,2014/09/14 11:51,Chinchilla
2015/01/07 07:51,2015/01/07 20:18,Chinchilla
2015/03/28 05:00,2015/03/29 14:10,Chinchilla
2015/03/31 18:18,2015/04/01 09:50,Chinchilla
2015/04/10 00:39,2015/04/11 09:36,Chinchilla
2015/05/06 15:41,2015/05/07 15:19,Chinchilla
2015/05/08 06:49,2015/05/09 10:56,Chinchilla
2015/05/10 12:12,2015/05/11 04:09,Chinchilla
2015/06/23 02:14,2015/06/24 13:08,Chinchilla
2015/09/07 23:08,2015/09/09 14:52,Chinchilla
2015/10/06 21:45,2015/10/07 10:29,Chinchilla
2015/10/25 12:48,2015/10/28 10:00,Chinchilla
2015/11/07 07:17,2015/11/08 16:35,Chinchilla
1998/04/07 17:00,1998/04/10 02:59,FP
1998/08/01 16:37,1998/08/03 10:00,FP
1999/11/22 03:44,1999/11/24 10:00,FP
1999/12/14 06:00,1999/12/14 20:43,FP
2000/12/29 03:00,2000/12/31 01:18,FP
2001/01/26 03:30,2001/01/26 15:00,FP
2001/03/04 16:00,2001/03/05 03:00,FP
2001/03/12 06:52,2001/03/12 12:35,FP
2001/03/27 23:24,2001/03/28 14:00,FP
2001/04/18 19:56,2001/04/20 12:04,FP
2001/05/24 03:00,2001/05/25 06:00,FP
2001/06/19 00:41,2001/06/19 14:00,FP
2001/08/03 12:00,2001/08/03 14:25,FP
2001/09/14 02:00,2001/09/14 23:00,FP
2001/09/18 18:00,2001/09/19 18:00,FP
2001/10/12 03:30,2001/10/12 08:00,FP
2001/10/16 18:00,2001/10/17 07:00,FP
2002/09/08 22:00,2002/09/10 16:00,FP
2003/10/01 23:00,2003/10/02 18:00,FP
2005/01/31 11:00,2005/02/02 09:53,FP
2005/02/20 00:00,2005/02/20 05:21,FP
2005/05/29 09:00,2005/06/01 03:04:30,FP
2005/07/09 05:00,2005/07/10 02:42,FP
2005/08/21 15:50,2005/08/22 04:00,FP
2005/08/22 10:00,2005/08/22 14:00,FP
2005/09/02 20:50,2005/09/03 15:00,FP
2005/09/05 17:54,2005/09/05 23:00,FP
2005/09/12 20:00,2005/09/13 13:05,FP
2005/10/24 08:30,2005/10/24 13:00,FP
2005/10/27 14:00,2005/10/28 07:50,FP
2005/12/25 04:00,2005/12/26 01:26,FP
2006/09/16 02:45,2006/09/16 12:17,FP
2009/04/16 15:00,2009/04/17 04:00,FP
2010/04/27 18:35,2010/04/28 19:44,FP
2010/06/07 01:00,2010/06/07 15:00,FP
2010/07/23 21:16,2010/07/24 08:38,FP
2011/01/02 02:37,2011/01/02 06:00,FP
2011/04/09 18:00,2011/04/10 16:00,FP
2011/08/07 00:00,2011/08/07 23:00,FP
2011/09/25 10:56,2011/09/25 21:00,FP
2011/12/29 22:00,2011/12/30 09:00,FP
2012/04/04 20:00,2012/04/05 07:00,FP
2012/06/02 16:23,2012/06/04 04:49,FP
2012/12/01 17:00,2012/12/03 20:00,FP
2013/08/24 00:00,2013/08/25 14:00,FP
2013/11/11 18:00,2013/11/12 08:00,FP
2014/05/30 13:00,2014/06/01 06:43,FP
2014/07/13 09:54,2014/07/14 09:00,FP
2014/08/10 09:50,2014/08/10 19:06,FP
2014/08/24 13:15,2014/08/25 05:26,FP
2015/03/22 10:51,2015/03/22 23:56,FP
2015/08/07 15:00,2015/08/08 13:00,FP
2015/08/26 08:35,2015/08/27 04:09,FP
2015/12/20 15:00,2015/12/21 20:37,FP
1997/10/01 13:41,1997/10/03 08:04,FP
1997/11/30 18:02,1997/12/01 03:45,FP
1997/12/13 02:59,1997/12/14 16:47,FP
1998/01/08 15:54,1998/01/08 22:17,FP
1998/01/18 09:59,1998/01/19 19:52,FP
1998/03/20 05:04,1998/03/21 12:28,FP
1998/04/11 18:32,1998/04/13 04:18,FP
1998/04/20 12:48,1998/04/21 01:25,FP
1998/04/24 12:00,1998/04/25 02:41,FP
1998/05/15 23:30,1998/05/16 12:12,FP
1998/06/12 20:00,1998/06/13 19:00,FP
1998/06/14 02:16,1998/06/15 14:20,FP
1998/06/22 20:04,1998/06/23 08:08,FP
1998/07/06 09:10,1998/07/09 06:11,FP
1998/08/07 17:26,1998/08/10 00:39,FP
1998/09/18 19:12,1998/09/19 07:01,FP
1998/10/16 23:55,1998/10/17 02:55,FP
1999/01/03 11:00,1999/01/05 06:12,FP
1999/04/17 00:03,1999/04/17 19:00,FP
1999/06/02 22:56,1999/06/04 07:15,FP
1999/06/11 18:00,1999/06/12 00:28,FP
1999/07/08 07:08,1999/07/12 01:00,FP
1999/07/27 17:48,1999/07/30 06:55,FP
1999/10/21 05:22,1999/10/22 06:46,FP
1999/11/14 15:50,1999/11/16 07:47,FP
2000/03/08 20:00,2000/03/10 05:20,FP
2000/03/16 23:29,2000/03/18 00:00,FP
2000/03/28 04:00,2000/03/30 14:35:15,FP
2000/03/30 17:00,2000/04/01 07:12:00,FP
2000/04/02 13:29,2000/04/03 01:34,FP
2000/04/04 01:54,2000/04/04 18:03,FP
2000/04/07 09:00,2000/04/08 17:30,FP
2000/08/24 09:12,2000/08/27 18:00,FP
2000/12/22 21:00,2000/12/24 17:03,FP
2001/01/04 18:00,2001/01/07 14:20,FP
2001/01/13 04:00,2001/01/13 21:55,FP
2001/01/20 09:13,2001/01/21 20:00,FP
2001/03/31 06:22,2001/03/31 22:00,FP
2001/04/08 15:00,2001/04/10 11:00,FP
2001/05/09 16:33,2001/05/12 10:30,FP
2001/05/14 10:00,2001/05/15 14:51,FP
2001/06/06 06:47,2001/06/08 17:00,FP
2001/06/17 12:57,2001/06/18 02:09,FP
2001/07/09 04:21:00,2001/07/12 08:14,FP
